"","tau","phi","kappa","psi"
"485",0.814617070572031,0.9136136772767,0.796954867753731,1.42821668999409
"486",0.769220186819785,0.909407259972569,0.848100279064024,2.06142951849592
"487",0.888620493935485,0.827571188226163,0.798224229351616,0.755701106336914
"488",1.27827658616663,0.929704476324223,0.779455385409484,0.845878036356663
"489",1.22773485394867,0.914150224496394,0.751067547861179,0.554714178852143
"490",1.02219980364208,0.847713423581746,0.774448410493803,0.363417582170814
"491",0.678989139799156,0.893859447271044,0.83519681072836,1.86365003413952
"492",1.10814679836527,0.86654002607747,0.754182165402558,0.187850429833611
"493",1.21401236490829,0.838881963608973,0.73699905439595,0.405204059950257
"494",0.718106295781153,0.849301590068572,0.846295741485198,1.56778448044289
"495",1.43572022891367,0.97724974012439,0.725168409472881,0.708303495962975
"496",1.23240944046586,0.870079236538877,0.779769578186944,0.370591756201318
"497",1.34034726731895,0.939663672985254,0.742636853433381,0.265915658333403
"498",1.18597127179205,0.912931137373452,0.762235109905363,0.524898176896722
"499",0.811702990855416,0.88846995225573,0.819300313700931,0.966745044088509
"500",1.0700348195619,0.999999999999966,0.781268434267804,1.0118930390991
"501",0.867280824277426,0.819303937571026,0.829543863153022,1.45215039231807
"502",1.03944029881863,0.950056726604768,0.766732428451833,0.972316842012684
"503",0.983845364734325,0.944528763687451,0.833020134973808,1.68069310561755
"504",0.774229781372587,0.853391291934672,0.855769414796463,1.432164912454
"505",1.03497231855775,0.877891020508822,0.785453499469787,0.507582145833711
"506",1.02060061683925,1.00000000000001,0.840131482324678,1.9835621292142
"507",1.20374602947955,0.895660288630852,0.773391184209422,0.675712114913193
"508",0.761763737854521,0.862471317565848,0.818107990006084,1.10279650893044
"509",0.83096433850296,0.872039317702722,0.820758339408335,1.06054173851163
"510",1.4258992239278,1,0.722155256444311,0.895904336565296
"511",1.42955161253801,0.897010960847323,0.683166752540335,0.0777290047988224
"512",1.29867263629791,0.999999999999992,0.739849231510835,0.676025755617165
"513",1.14041645166794,0.913022935287799,0.743149447822537,0.0934437042670833
"514",1.85275621256552,0.973530654407089,0.689343358054071,0.757060072937859
"515",0.55042229008192,0.763470794132071,0.888668630646861,2.0092538692386
"516",0.89066744150593,0.94055985247524,0.824533600964159,1.47326072602522
"517",1.20263626118095,0.897633265439634,0.745204181953188,0.208058279286748
"518",0.940089239058825,0.930738837306388,0.768222574196542,0.90876583656418
"519",0.9839099601532,0.912368788389019,0.807076478401333,1.44302794065737
"520",1.07457518742909,0.92990457553169,0.783351776728005,0.504326959378673
"521",0.966553075547061,0.805985475119065,0.821800686661678,0
"522",1.25941323194217,0.888757210679983,0.758362772075562,0.475761829418232
"523",0.676723706608898,0.880964242296081,0.87872335007009,1.72143894683396
"524",1.65872103806407,0.955227913285016,0.722807313157743,0.620182141727044
"525",1.18369598135348,0.959981724942355,0.770066825688913,0.654979060119849
"526",1.05250396374154,0.986764122650429,0.823523815603364,1.53979009742482
"527",0.789550182123186,0.994392934368128,0.81907649355564,1.34015442478627
"528",0.854355209293687,0.899500584311482,0.812969525110839,1.24407739985022
"529",1.1554355193145,0.907649440869414,0.750553644362156,0.339847843820777
"530",1.04915001903853,0.935126717511249,0.781609071807133,1.07389199582529
"531",0.882578521227524,0.924317631654977,0.808301798169521,1.62683838982309
"532",0.779551578265092,0.91633113427198,0.857329506174031,1.46953878666335
"533",1.3695645588022,0.959885894478677,0.735809305786612,0.591220966159458
"534",1.4568080552939,0.883347551010012,0.726163899380845,0.366702357044949
"535",1.27922260769897,0.94788467729519,0.727593141461036,0.637157842903913
"536",0.575516843209088,0.874528855770933,0.880796014248325,2.5376176229597
"537",1.13945539440349,0.952185122570565,0.80488777493091,0.834577716196548
"538",1.12404157534765,0.914674121190425,0.76124860336711,0.956629601425109
"539",1.48260108415948,0.947056712073442,0.712451302529192,0.0840762429623301
"540",0.992186375298863,0.901137176362781,0.771385627811322,0.570891956902009
"541",1.81074167387475,0.91437969375681,0.68628869128989,0.0329681796722761
"542",1.23523256080665,0.891201462211209,0.768335978843464,0.249310216226422
"543",0.894401274782268,0.951052402437606,0.795050120352368,1.75374827099037
"544",0.70756434110084,0.882717456634035,0.842343061252041,1.34514994940677
"545",1.07409922846424,0.924790687603691,0.771273588487171,1.48869490528028
"546",1.3849527975351,0.831040833086525,0.690305725059235,0.0983040500535257
"547",1.30339454484725,0.892802305043785,0.72006130909638,0.385094444372517
"548",1.13591534458417,0.875086284353013,0.740658597126902,0.304916239006578
"549",0.988907131722983,0.940736750919852,0.83429840286143,1.265952526137
"550",0.793845867924676,0.827727891351545,0.82120588560255,0.346664553513727
"551",1.14766003022275,0.896396509497671,0.801717341011965,0.699377808843152
"552",1.33791833876575,0.901797426416771,0.754960011215064,0.708821083211356
"553",0.92456764393565,0.923341280364102,0.828274954692487,1.07974657398637
"554",2.01679697407962,0.999999999999998,0.609752907492334,0
"555",1.05491503034866,0.757235859910075,0.781681492063605,0.448286391174628
"556",1.471396459684,0.951758235227185,0.737062819927805,0.399408186822439
"557",1.01466505011243,0.833457170547433,0.778843711832513,0.743141900108274
"558",0.902669986408675,0.933405840146045,0.801872259348403,0.958969067853369
"559",1.01492858733982,0.940869783361836,0.798625280289719,1.57124939542206
"560",0.713112916626851,0.946549557891866,0.839821896534849,1.92987552842023
"561",1.25677426083374,0.91947092457071,0.775415607427852,1.07318431834022
"562",1.2307677851587,0.920217966289614,0.803892959662412,1.14931411027085
"563",0.867974662308253,0.777418023806977,0.812451455853878,1.34199269225587
"564",1.68953863780809,0.906253671077541,0.699370349144468,0.319997424413062
"565",0.956326749663156,0.930607521711912,0.791195032824638,1.4957229039092
"566",1.04789854223442,0.888098251406109,0.777232452756289,1.04131470977362
"567",1.27473962077679,0.935768085774767,0.722157885619707,0.329485126447074
"568",0.789936742307177,0.819519538602382,0.844255374150793,0.974746027997458
"569",0.998661312101675,0.871677756232301,0.817629417074201,0.909704825289617
"570",0.970682446684268,0.869422271469323,0.786004751612816,0.948908929145
"571",0.832931444677776,0.967327365473555,0.817018575422281,1.61015702479196
"572",1.37957651853447,0.942201594926465,0.756086188377922,0.821294064840324
"573",0.910910049512044,0.918879827265886,0.835099556569145,1.49913643081159
"574",0.79701473297133,0.917838604735733,0.85561327301244,1.82672341073487
"575",0.961542347113178,0.929048969019506,0.797995305228324,1.32255514798036
"576",1.29252674516588,0.841266439938197,0.742319229432639,0.617069022944992
"577",0.844519341078838,0.848603317370118,0.818772673588232,0.668786605746709
"578",1.43941625505355,0.975250918476881,0.734816460012242,0.682586641855998
"579",0.966519379568149,0.92792549796886,0.822981798613892,1.5189600206326
"580",1.10712117048647,1.00000000000001,0.743008084845294,0.894652246358818
"581",1.10352042012971,0.963757474188294,0.779295915974058,0.883540707162297
