"","tau","beta","kappa","psi","mean_E1"
"70",0.166176575462987,0.10356110336334,0.0911024700050112,0.0215129571699862,0.809093954605526
"71",0.170940327253118,0.098584907670412,0.0757745354008685,0.227562758560633,3.94623076017812
"72",0.15253651576362,0.0665036840080917,0.07652544427869,0.18225256111758,39.5149622445239
"73",0.127005898851515,0.0637988126884004,0.0685837963681773,0.127826029096584,31.1104617717131
"74",0.193287235589162,0.0985858416112215,0.0608063588397197,0.0464224979055853,0.466287182105491
"75",0.158861305195073,0.0965552646112858,0.0781170201976268,0.146417214973063,9.709400786432e-05
"76",0.195013177274572,0.134285975592239,0.0878256921434267,0.0383458773066884,7.75811701430597e-05
"77",0.144668518620057,0.116668767063934,0.0732852741043699,0.113815227546885,16.6779485376018
"78",0.252665503067925,0.140981856898679,0.0949890816539667,0.039467164738368,9.03847652987348
"79",0.155341917265408,0.0787255169117782,0.0857867030622473,0.714704060495501,20.4719658309283
"80",0.178962329211804,0.104011389543402,0.0960458753373515,0.050260407567589,0.0050526038035446
"81",0.246994210348531,0.17208971837526,0.107988259552736,0.0195190433162052,1.91919340934314
"82",0.164308873029141,0.0683863612245956,0.0747834724133573,0.0515011536071314,0.00029428102693298
"83",0.152840624334728,0.0854220755796277,0.0804363495937302,0.245877154727906,4.99350947215788
"84",0.173814413343008,0.101677970591874,0.0658386740435851,0.117427762635067,9.40093800037093
"85",0.234891170482336,0.126778990922925,0.0984062863620977,0.0543212165633863,16.1273615730001
"86",0.164665518836138,0.0988562294647296,0.0694811404383769,0.154584811840137,3.06050138161974e-07
"87",0.193826803343029,0.114263010025333,0.0824344547170311,0.0945541782770365,4.58537663998117
"88",0.20682573663284,0.0811584412725959,0.0915801652832089,0.104221750102201,23.0271661218856
"89",0.232310958431469,0.101630948914842,0.105102213138577,0.00959764297279793,4.06244993634999
"90",0.208697974544831,0.0943950662822973,0.0927270986683296,0.110716746118183,6.69884421893049
"91",0.129022205762102,0.0647433265930613,0.0732733028750781,0.301292432293559,3.59440823919549
"92",0.15433938259581,0.079521036840912,0.0740595244846502,0.268540490602989,9.37812674748929e-05
"93",0.149166900230458,0.0645041233267879,0.0687593322223249,0.50498547436931,8.48922918280948
"94",0.207052147309824,0.114183591492385,0.0970871153101614,0.0336739800477913,3.51915698081952
"95",0.14457785315354,0.100766599674825,0.0685437732823675,0.138175711664951,4.71804420645711e-10
"96",0.251602110382372,0.154881198780052,0.0921877589272786,0.0451082605005055,8.1819316883694
"97",0.260010920512545,0.205111203345649,0.107928084582428,0.0296339855993596,4.79085609279801
"98",0.235987634528409,0.166090257282279,0.102028543345634,0.0363346821621326,8.77796098785531
"99",0.00151040961061923,0.000543889768460221,0.000617818945929343,0.00833517314166507,142.07861881903
"100",0.255336182624287,0.109445639140465,0.0881360928721936,0.0623818537952838,8.80399042722212e-07
"101",0.187395751254157,0.0811181085751328,0.0818955222971921,0.120810361554297,0.113542657545932
"102",0.168585665660326,0.0908518918446387,0.0804475933380411,0.0706684316442964,26.9994427869396
"103",0.128423496497,0.0829610261048173,0.0747554318546696,0.176897526329286,2.24806411085006e-06
"104",0.177766702431842,0.110717537996754,0.0732785853679041,0.0237082715335777,11.9618226126429
"105",0.168071791990764,0.105502985909652,0.068825284625883,0.0243006872294789,7.15827961420789
"106",0.181573677528919,0.107351357366248,0.0819689953101143,0.0878403299170422,6.20035255094457e-10
"107",0.148301295335381,0.0856217077178585,0.0788153121068504,0.0301932839587731,22.7158715442906
"108",0.127927981623641,0.0895365793031405,0.0885873713033371,0.27806421126153,2.19148935503968
"109",0.153347823271961,0.102003732885416,0.0604761344447659,0.0546619894106644,16.6385589638413
"110",0.133754815413066,0.0646924596713478,0.0727845556743739,0.198069184043516,17.832139465102
"111",0.161152151542983,0.0882263245461296,0.0839313868203717,0.124684275539453,3.771764651762
"112",0.162419546260719,0.0962131787402313,0.0714010839450458,0.0427650073491749,15.1916779168664
"113",0.11731581889904,0.0637207977392498,0.0597784443677202,0.416703297280784,14.7263321837821
"114",0.10823338156335,0.0808953794562449,0.0566210497411525,0.212738544852946,25.1090692814828
"115",0.18959907624952,0.0747047043645881,0.0879842593466159,0.241125120726263,14.8158112967052
"116",0.190236280100118,0.129679668095042,0.0736558532896894,0.0608124035649407,10.9378042273103
"117",0.174111074363827,0.0821476976582651,0.0712428680834364,0.153456780247828,0.681267417786255
"118",0.210174514253687,0.108998461569435,0.0775548458041247,0.0457030228124009,0.779327401066297
"119",0.215189633354984,0.0918607852685174,0.089597472662452,0.0385722416707623,3.17464113736517
"120",0.115246043320077,0.0678284110056098,0.0644770654750509,0.368549042489669,19.3528702801537
"121",0.194593343482206,0.10921172790081,0.0946078461749707,0.0443825258111317,5.20839702680805
"122",0.143608319390738,0.0965450943366103,0.0731800149482311,0.0891638794182109,0.000170246181194414
"123",0.202725405412783,0.112650351875732,0.0796600148336599,0.00986845994532319,8.55415267102373
"124",0.179332814505344,0.116249968956559,0.0872917174945912,0.0863415898816983,13.0851445789673
"125",0.0972493165103056,0.0792670206948403,0.0612823186042099,0.380857359677893,2.39668304443703
"126",0.111909143486633,0.111897509562732,0.0683874410956231,0.233959900129871,18.5727305568531
