"","tau","beta","kappa","psi"
"416",1.33608014501838,0.576904724748716,0.35888668665145,0.484007668905586
"417",0.976075375740658,0.617248830767567,0.498934612042784,0.513849621310754
"418",0.597577016605764,0.71261118053063,0.690695125980453,0.62506721149061
"419",0.391647150288651,0.744157464375393,0.804567290275124,0.977293877321903
"420",0.676452116788087,0.65168272123696,0.655574278621137,0.580664723288915
"421",1.2002850293395,0.355470876921109,0.428979529334204,0.321250251134103
"422",0.525051474964106,0.722084597133909,0.743376600701806,0.649546422579743
"423",1.22501746367014,0.178985574236961,0.337111762083259,0.2778932199687
"424",0.973589643137432,0.578371717558134,0.546323558649845,0.480947836035214
"425",0.460586101982552,0.784839361037094,0.767615488404363,0.883339541508035
"426",1.68530571439893,0.0629061735570319,0.20354172287385,0.196170994795282
"427",0.438028614916008,0.787000216828551,0.765257977001067,1.19684164726019
"428",0.631553059868606,0.608875931696706,0.680064306044273,0.345300513822922
"429",0.765480601244135,0.606987594639634,0.639604236702385,0.617381311796183
"430",1.28753678507454,0.364733418652762,0.382180045549643,0.134598117789284
"431",1.19501442112192,0.35104670136749,0.388426601268207,0.531964363822496
"432",0.693467258953888,0.867621724292387,0.622294521266946,0.179366334575295
"433",0.307077330057908,0.675977383347587,0.845689783890498,0.751877589742868
"434",1.27329358829746,0.268415298621317,0.367778754569286,0.314140409811676
"435",1.35008881971404,0.0192579814305783,0.290919737545148,0.195187660331903
"436",1.44609268263856,0.0863705078580385,0.318523712234418,0.50031526248804
"437",0.862058489975208,0.625127648368313,0.561962149402842,0.554120251255551
"438",0.400224472998549,0.744143582143285,0.804577894043677,1.02227556446305
"439",0.510564411553011,0.735428478632453,0.743434969068839,0.945487535399597
"440",0.896913299302001,0.528764187995952,0.525944344977801,0.406439117779866
"441",1.15437110584937,0.558707780218505,0.42739528479694,0.552483267708374
"442",1.03900946442745,0.584388791806161,0.549041031064477,0.552062660545473
"443",0.436082642196544,0.754175035584919,0.796603245244149,1.31856214656861
"444",1.34321934712282,0.27527713694228,0.284760731031515,0.288981775855431
"445",1.18034275346161,0.411192201667341,0.336886093560892,0.478663251545427
"446",1.18881462406854,0.386749552689657,0.357397500503494,0.311164761965736
"447",0.387816294437348,0.740598831346288,0.807248362605692,1.01207411631298
